searching_keyword_sn,representation_keyword_sn,searching_keyword
1,1,가상화 솔루션
2,2,강화 학습
3,2,reinforcement learning
4,2,rl
5,3,pims
6,3,개인정보 관리시스템
7,3,personal information management system
8,4,객체 인식
9,4,object detection
10,5,객체지향 프로그래밍
11,5,object oriented programming
12,5,oop
13,6,검색 엔진 최적화
14,6,seo
15,6,search engine optimization
16,7,게임 서버
17,7,game server
18,8,게임 엔진
19,8,game engine
20,9,결제 시스템
21,9,결제 System
22,9,payment system
23,10,계리 시스템
24,10,계리 System
25,10,accounting system
26,11,고가용성
27,11,High Availability
28,12,고객 관계 관리
29,12,CRM
30,12,Customer Relationship Management
31,12,Microsoft Dynamics CRM
32,13,고성능 컴퓨팅
33,13,High Performance Computing
34,13,hpc
35,13,고성능 Computing
36,14,관점지향 프로그래밍
37,14,Aspect Oriented Programming
38,14,aop
39,15,광고 타겟팅
40,15,Advertisement Targeting
41,15,광고 Targeting
42,16,growth hacking
43,16,그로스 해킹
44,16,growth hacker
45,16,growth hackers
46,16,그로스 해커
47,17,금융 서비스
48,17,금융 서비스 개발
49,17,financial service
50,17,금융 service
51,18,금융 플랫폼
52,18,financial platform
53,18,금융 Platform
54,18,Finalcial 플랫폼
55,19,기계 학습
56,19,머신러닝
57,19,machine learning
58,19,ML
59,20,기반 시설
60,20,인프라스트럭쳐
61,20,인프라
62,20,infra structure
63,20,인프라스트럭처
64,21,네이티브어플리케이션
65,21,네이티브애플리케이션
66,21,네이티브앱
67,21,native application
68,21,native app
69,22,네트워크
70,22,network
71,23,network security
72,23,네트워크 보안
73,24,네트워크 프로그래밍
74,24,network programming
75,25,대시보드 개발
76,25,Dashboard
77,26,대용량 데이터 처리
78,27,대용량 시스템
79,27,대용량 system
80,28,대용량 트래픽
81,28,대용량 traffic
82,29,대용량 tps 서비스
83,29,대용량 tps service
84,30,devops
85,30,데브옵스
86,30,Development Operation
87,31,데이터 구조
88,31,data structure
89,32,데이터 분석
90,32,data analysis
91,32,통계 데이터 분석
92,33,데이터 설계
93,33,data design
94,34,데이터 수집
95,34,data collection
96,35,데이터 시각화
97,35,data visualization
98,36,데이터 아키텍처
99,36,data architecture
100,37,데이터 웨어하우스
101,37,data warehouse
102,37,데이터 웨어하우징
103,37,data warehousing
104,38,데이터 인프라스트럭처
105,38,data infrastructure
106,38,데이터인프라 설계
107,38,데이터 인프라스트럭쳐
108,39,데이터 입력
109,40,데이터 파이프라인
110,40,data pipeline
111,41,db 모델링
112,41,db modeling
113,41,database modeling
114,41,데이터베이스 모델링
115,42,db engineer
116,42,데이터베이스 엔지니어
117,42,db 엔지니어
118,42,database engineer
119,42,database 엔지니어
120,43,db 쿼리 최적화
121,43,db query optimization
122,43,database query
123,43,database query optimization
124,43,데이터베이스 query 최적화
125,43,데이터베이스 query optimization
126,44,ddd
127,44,도메인 주도 설계
128,44,Domain-Driven design
129,45,동기
130,45,동기 처리
131,45,sync
132,45,동기 프로그래밍
133,45,synchronous
134,46,동기/비동기
135,46,동기/비동기 프로그래밍
136,46,Synchronous/Asynchronous
137,47,동시성
138,48,디버깅
139,48,debugging
140,48,디버그
141,49,디자인 패턴
142,49,design pattern
143,50,drm
144,50,디지털 권리 관리
145,50,Digital Rights Management
146,51,딥러닝
147,51,Deep Learning
148,51,DL
149,51,심층 학습
150,52,3d lidar
151,52,라이다
152,52,3d 라이다
153,52,라이더
154,52,3d 라이더
155,52,Light Detection And Ranging
156,52,lidar
157,53,라이브러리
158,53,library
159,53,lib
160,54,radar
161,54,레이다
162,54,레이더
163,55,로그
164,55,log
165,56,로보 어드바이저
166,56,Robo-Advisor
167,56,로보 어드바이져
168,57,로봇
169,57,robot
170,58,linux kernel
171,58,리눅스 커널
172,58,linux 커널
173,58,리눅스 kernel
174,59,리팩토링
175,59,refactoring
176,60,마커 인식
177,60,Marker Recognition
178,60,마커 Recognition
179,60,Marker 인식
180,61,marketing
181,61,마케팅
182,61,마켓팅
183,62,마케팅 솔루션
184,62,marketing solution
185,63,material design
186,63,머티리얼 디자인
187,63,머트리얼 디자인
188,64,멀티 쓰레드
189,64,Multi thread
190,64,멀티스레딩
191,64,멀티쓰레딩
192,64,멀티 스레드
193,65,멀티 플랫폼
194,65,Multi platform
195,65,크로스 플랫폼
196,65,Cross platform
197,66,media framework
198,66,multimedia framework
199,66,멀티미디어 프레임워크
200,66,미디어 프레임워크
201,67,메모리 최적화
202,67,memory optimization
203,68,모니터링
204,68,Monitoring
205,69,모델 경량화
206,70,모델 최적화
207,70,model optimization
208,71,mvvm
209,71,모델-뷰-뷰 모델
210,71,모델 뷰 뷰 모델
211,71,viewmodel
212,71,Model-view-view model
213,72,모바일 네트워크
214,72,mobile network
215,73,모바일 앱 개발
216,73,mobile app development
217,73,mobile application development
218,73,모바일 App 개발
219,74,모바일 웹
220,74,mobile web
221,74,모바일 Web
222,74,mobile 웹
223,75,모바일 플랫폼
224,75,mobile platform
225,76,모바일 플랫폼 전략 수립
226,76,mobile platform strategy
227,77,미들웨어
228,77,Middleware
229,78,미디어 기기 처리
230,79,반응형 웹
231,79,Responsive Web
232,80,반응형 디자인
233,80,반응형 웹 디자인
234,80,Responsive Web Design
235,80,Responsive Design
236,81,반응형 웹 서비스
237,81,Responsive Web Service
238,82,방송 미들웨어
239,82,미디어 미들웨어
240,82,방송/미디어 미들웨어
241,82,Broadcast Middleware
242,83,배포 자동화
243,83,Continuous Deployment
244,83,Auto Deployment
245,84,백엔드
246,84,Backend
247,84,be
248,84,웹 백엔드
249,85,백 오피스
250,85,back office
251,86,버전 관리
252,86,version control
253,87,병렬 프로그래밍
254,87,parallel programming
255,87,병렬 컴퓨팅
256,87,parellel computing
257,88,병렬처리
258,88,parallel processing
259,89,보안
260,89,Security
261,90,분산 버전 관리
262,90,Distributed revision control
263,90,Distributed Version Control Systems
264,90,DVCS
265,90,분산 버전 관리 시스템
266,91,분산 시스템
267,91,Distributed system
268,92,분산 처리
269,92,distributed computing
270,93,분산 처리 시스템
271,93,Distributed Processing System
272,94,분산환경
273,94,data parallelism
274,95,브랜딩
275,95,branding
276,96,블록체인
277,96,block chain
278,97,비동기
279,97,비동기 처리
280,97,Asynchronous
281,97,비동기 프로그래밍
282,97,async
283,98,빅데이터
284,98,빅데이타
285,98,big data
286,99,빌드
287,99,Build
288,100,Application Lifecycle Management
289,100,ALM
290,100,생명주기관리
291,100,라이프사이클 관리
292,100,Lifecycle Management
293,100,Lifecycle 관리
294,101,빌드 자동화
295,101,Build Automation
296,102,사물인터넷
297,102,Internet of Things
298,102,IoT
299,103,사업계획 수립
300,104,사업관리
301,105,사업기획
302,106,사업전략 수립
303,107,ux
304,107,사용자 경험
305,107,user experience
306,108,ui
307,108,사용자 인터페이스
308,108,user interface
309,108,사용자 interface
310,108,user 인터페이스
311,109,사용자 추천
312,109,User based recommendation
313,109,User recommendation
314,110,sre
315,110,사이트 신뢰성 공학
316,110,사이트 신뢰성 엔지니어링
317,110,Site Reliability Engineering
318,110,Site 신뢰성 엔지니어링
319,110,Site 신뢰성 engineering
320,111,서버
321,111,server
322,112,서버 가상화
323,112,server vitualization
324,113,서버 개발
325,113,server development
326,114,서버 관리
327,114,server control
328,115,서버 보안
329,115,server security
330,116,서버 설계
331,116,server design
332,116,서버 디자인
333,116,server 디자인
334,116,서버 design
335,116,server 설계
336,117,서버 엔지니어링
337,117,server engineering
338,117,서버 engineering
339,117,server 엔지니어링
340,118,서버 통신
341,118,server 통신
342,119,서버리스
343,119,서버리스 컴퓨팅
344,119,serverless
345,120,서비스 운영
346,121,서비스 프로세스 설계
347,121,service process design
348,122,saas
349,122,software as a service
350,122,서비스형 소프트웨어
351,122,서비스로서의 소프트웨어
352,122,사스
353,123,iaas
354,123,infrastructure as a service
355,123,서비스형 인프라
356,123,서비스로서의 인프라
357,123,아이아스
358,123,이에스
359,124,paas
360,124,platform as a service
361,124,서비스형 플랫폼
362,124,서비스로서의 플랫폼
363,124,파스
364,125,성능 최적화
365,125,performance optimization
366,126,성능 튜닝
367,126,performance tuning
368,127,secure coding
369,127,시큐어 코딩
370,127,소프트웨어 개발 보안
371,128,sdk
372,128,소프트웨어 개발 키트
373,128,software development Kit
374,129,스레드
375,129,쓰레드
376,129,thread
377,130,visual odometry
378,130,vo
379,130,시각적 주행거리 측정 방법
380,131,시계열 분석
381,131,time series analysis
382,132,system engineering
383,132,시스템 공학
384,132,system engineer
385,132,System 공학
386,132,시스템 engineering
